Date,Order,Year,Month,Day,DayName,Code,Name,Open,High,Low,Close,Future,Observe,Days,Price,TFARCH,TFBS,BS_L,BS_U,ARCH_L,ARCH_U
2020-04-08,591,2020,4,8,Wednesday,128940,한미약품,242668.0,248236.0,240348.0,244526.0,False,,,,,,,,,
2020-04-09,592,2020,4,9,Thursday,128940,한미약품,245914.0,246379.0,239419.0,242206.0,False,,,,,,,,,
2020-04-10,593,2020,4,10,Friday,128940,한미약품,243133.0,243133.0,238028.0,241278.0,False,,,,,,,,,
2020-04-13,594,2020,4,13,Monday,128940,한미약품,240811.0,244523.0,238956.0,239886.0,False,,,,,,,,,
2020-04-14,595,2020,4,14,Tuesday,128940,한미약품,240349.0,244062.0,237565.0,241743.0,False,,,,,,,,,
2020-04-15,596,2020,4,15,Wednesday,128940,한미약품,238492.0,243133.0,238028.0,240350.0,False,,,,,,,,,
2020-04-16,597,2020,4,16,Thursday,128940,한미약품,238492.0,243133.0,238028.0,240350.0,False,,,,,,,,,
2020-04-17,598,2020,4,17,Friday,128940,한미약품,241742.0,244063.0,241277.0,243135.0,False,,,,,,,,,
2020-04-20,599,2020,4,20,Monday,128940,한미약품,243597.0,246846.0,243134.0,244063.0,False,,,,,,,,,
2020-04-21,600,2020,4,21,Tuesday,128940,한미약품,245915.0,248699.0,233388.0,239886.0,False,,,,,,,,,
2020-04-22,601,2020,4,22,Wednesday,128940,한미약품,238029.0,239886.0,234782.0,238959.0,False,,,,,,,,,
2020-04-23,602,2020,4,23,Thursday,128940,한미약품,238026.0,241274.0,237562.0,240813.0,False,,,,,,,,,
2020-04-24,603,2020,4,24,Friday,128940,한미약품,239420.0,240811.0,234316.0,235710.0,False,,,,,,,,,
2020-04-27,604,2020,4,27,Monday,128940,한미약품,236638.0,238493.0,234781.0,236639.0,False,,,,,,,,,
2020-04-28,605,2020,4,28,Tuesday,128940,한미약품,238027.0,239419.0,234779.0,237102.0,False,,,,,,,,,
2020-04-29,606,2020,4,29,Wednesday,128940,한미약품,238028.0,242669.0,238028.0,240350.0,False,,,,,,,,,
2020-04-30,607,2020,4,30,Thursday,128940,한미약품,236637.0,239420.0,233852.0,234782.0,False,,,,,,,,,
2020-05-01,608,2020,5,1,Friday,128940,한미약품,236637.0,239420.0,233852.0,234782.0,False,,,,,,,,,
2020-05-04,609,2020,5,4,Monday,128940,한미약품,236637.0,239420.0,233852.0,234782.0,False,,,,,,,,,
2020-05-05,610,2020,5,5,Tuesday,128940,한미약품,237100.0,238958.0,234781.0,238030.0,False,,,,,,,,,
2020-05-06,611,2020,5,6,Wednesday,128940,한미약품,237100.0,238958.0,234781.0,238030.0,False,,,,,,,,,
2020-05-07,612,2020,5,7,Thursday,128940,한미약품,236172.0,240812.0,236172.0,240350.0,False,,,,,,,,,
2020-05-08,613,2020,5,8,Friday,128940,한미약품,242667.0,262619.0,242202.0,256125.0,False,,,,,,,,,
2020-05-11,614,2020,5,11,Monday,128940,한미약품,260763.0,260763.0,251018.0,251486.0,False,,,,,,,,,
2020-05-12,615,2020,5,12,Tuesday,128940,한미약품,251484.0,262156.0,249629.0,258446.0,False,,,,,,,,,
2020-05-13,616,2020,5,13,Wednesday,128940,한미약품,257515.0,264012.0,255197.0,258910.0,False,,,,,,,,,
2020-05-14,617,2020,5,14,Thursday,128940,한미약품,231996.0,245915.0,227356.0,234318.0,False,,,,,,,,,
2020-05-15,618,2020,5,15,Friday,128940,한미약품,231532.0,231532.0,223645.0,227358.0,False,,,,,,,,,
2020-05-18,619,2020,5,18,Monday,128940,한미약품,231995.0,232460.0,225499.0,225966.0,False,,,,,,,,,
2020-05-19,620,2020,5,19,Tuesday,128940,한미약품,228747.0,229675.0,225498.0,226429.0,False,,,,,,,,,
2020-05-20,621,2020,5,20,Wednesday,128940,한미약품,226426.0,227819.0,225498.0,226429.0,False,,,,,,,,,
2020-05-21,622,2020,5,21,Thursday,128940,한미약품,227356.0,228749.0,224573.0,228750.0,False,,,,,,,,,
2020-05-22,623,2020,5,22,Friday,128940,한미약품,228748.0,228748.0,225035.0,225502.0,False,,,,,,,,,
2020-05-25,624,2020,5,25,Monday,128940,한미약품,226893.0,227357.0,222717.0,223647.0,False,,,,,,,,,
2020-05-26,625,2020,5,26,Tuesday,128940,한미약품,224572.0,226428.0,223644.0,225502.0,False,,,,,,,,,
2020-05-27,626,2020,5,27,Wednesday,128940,한미약품,225501.0,225965.0,223645.0,224111.0,False,,,,,,,,,
2020-05-28,627,2020,5,28,Thursday,128940,한미약품,224109.0,225964.0,220860.0,222254.0,False,,,,,,,,,
2020-05-29,628,2020,5,29,Friday,128940,한미약품,221787.0,222714.0,219930.0,219933.0,False,,,,,,,,,
2020-06-01,629,2020,6,1,Monday,128940,한미약품,219933.0,224574.0,217614.0,223183.0,False,,,,,,,,,
2020-06-02,630,2020,6,2,Tuesday,128940,한미약품,222252.0,227356.0,220860.0,225966.0,False,,,,,,,,,
2020-06-03,631,2020,6,3,Wednesday,128940,한미약품,228285.0,231996.0,226892.0,228286.0,False,,,,,,,,,
2020-06-04,632,2020,6,4,Thursday,128940,한미약품,230140.0,231068.0,226427.0,228750.0,False,,,,,,,,,
2020-06-05,633,2020,6,5,Friday,128940,한미약품,229678.0,249166.0,229678.0,241743.0,False,,,,,,,,,
2020-06-08,634,2020,6,8,Monday,128940,한미약품,245454.0,248238.0,240350.0,244063.0,False,,,,,,,,,
2020-06-09,635,2020,6,9,Tuesday,128940,한미약품,243134.0,244526.0,238959.0,244063.0,False,,,,,,,,,
2020-06-10,636,2020,6,10,Wednesday,128940,한미약품,244523.0,247307.0,242668.0,244990.0,False,,,,,,,,,
2020-06-11,637,2020,6,11,Thursday,128940,한미약품,243597.0,249629.0,241277.0,244063.0,False,,,,,,,,,
2020-06-12,638,2020,6,12,Friday,128940,한미약품,231997.0,239886.0,231997.0,238959.0,False,,,,,,,,,
2020-06-15,639,2020,6,15,Monday,128940,한미약품,236637.0,256125.0,232925.0,237566.0,False,,,,,,,,,
2020-06-16,640,2020,6,16,Tuesday,128940,한미약품,244987.0,250091.0,240347.0,247310.0,False,,,,,,,,,
2020-06-17,641,2020,6,17,Wednesday,128940,한미약품,245916.0,249628.0,239421.0,245454.0,False,,,,,,,,,
2020-06-18,642,2020,6,18,Thursday,128940,한미약품,248236.0,249164.0,244060.0,246382.0,False,,,,,,,,,
2020-06-19,643,2020,6,19,Friday,128940,한미약품,248700.0,248700.0,239420.0,241278.0,False,,,,,,,,,
2020-06-22,644,2020,6,22,Monday,128940,한미약품,241275.0,244523.0,237563.0,238494.0,False,,,,,,,,,
2020-06-23,645,2020,6,23,Tuesday,128940,한미약품,238958.0,240812.0,233853.0,235247.0,False,,,,,,,,,
2020-06-24,646,2020,6,24,Wednesday,128940,한미약품,237563.0,239883.0,234779.0,238494.0,False,,,,,,,,,
2020-06-25,647,2020,6,25,Thursday,128940,한미약품,238028.0,242669.0,234781.0,234782.0,False,,,,,,,,,
2020-06-26,648,2020,6,26,Friday,128940,한미약품,235708.0,238492.0,233388.0,235710.0,False,,,,,,,,,
2020-06-29,649,2020,6,29,Monday,128940,한미약품,232924.0,233388.0,227357.0,227358.0,False,,,,,,,,,
2020-06-30,650,2020,6,30,Tuesday,128940,한미약품,228748.0,228748.0,225499.0,225966.0,False,,,,,,,,,
2020-07-01,651,2020,7,1,Wednesday,128940,한미약품,227356.0,227820.0,224572.0,226894.0,False,,,,,,,,,
2020-07-02,652,2020,7,2,Thursday,128940,한미약품,228285.0,233852.0,227356.0,227822.0,False,,,,,,,,,
2020-07-03,653,2020,7,3,Friday,128940,한미약품,228748.0,230604.0,226892.0,230606.0,False,,,,,,,,,
2020-07-06,654,2020,7,6,Monday,128940,한미약품,230604.0,231533.0,227356.0,227822.0,False,,,,,,,,,
2020-07-07,655,2020,7,7,Tuesday,128940,한미약품,227820.0,230139.0,226427.0,226894.0,False,,,,,,,,,
2020-07-08,656,2020,7,8,Wednesday,128940,한미약품,225499.0,227356.0,224108.0,225966.0,False,,,,,,,,,
2020-07-09,657,2020,7,9,Thursday,128940,한미약품,225965.0,226428.0,221789.0,223647.0,False,,,,,,,,,
2020-07-10,658,2020,7,10,Friday,128940,한미약품,224109.0,225036.0,220396.0,220862.0,False,,,,,,,,,
2020-07-13,659,2020,7,13,Monday,128940,한미약품,222251.0,222251.0,219467.0,219933.0,False,,,,,,,,,
2020-07-14,660,2020,7,14,Tuesday,128940,한미약품,219003.0,223643.0,219003.0,221325.0,False,,,,,,,,,
2020-07-15,661,2020,7,15,Wednesday,128940,한미약품,222252.0,223180.0,219930.0,220398.0,False,,,,,,,,,
2020-07-16,662,2020,7,16,Thursday,128940,한미약품,223645.0,233853.0,221324.0,232926.0,False,,,,,,,,,
2020-07-17,663,2020,7,17,Friday,128940,한미약품,238028.0,238028.0,228748.0,231070.0,False,,,,,,,,,
2020-07-20,664,2020,7,20,Monday,128940,한미약품,231068.0,234780.0,227356.0,230606.0,False,,,,,,,,,
2020-07-21,665,2020,7,21,Tuesday,128940,한미약품,230604.0,232924.0,228285.0,228286.0,False,,,,,,,,,
2020-07-22,666,2020,7,22,Wednesday,128940,한미약품,228285.0,229677.0,225964.0,227358.0,False,,,,,,,,,
2020-07-23,667,2020,7,23,Thursday,128940,한미약품,227356.0,237563.0,225499.0,233390.0,False,,,,,,,,,
2020-07-24,668,2020,7,24,Friday,128940,한미약품,233388.0,238957.0,230139.0,231998.0,False,,,,,,,,,
2020-07-27,669,2020,7,27,Monday,128940,한미약품,231997.0,233853.0,229214.0,229215.0,False,,,,,,,,,
2020-07-28,670,2020,7,28,Tuesday,128940,한미약품,229677.0,284429.0,229677.0,264014.0,False,,,,,,,,,
2020-07-29,671,2020,7,29,Wednesday,128940,한미약품,253340.0,254732.0,243132.0,244526.0,False,,,,,,,,,
2020-07-30,672,2020,7,30,Thursday,128940,한미약품,243133.0,243133.0,237564.0,239422.0,False,,,,,,,,,
2020-07-31,673,2020,7,31,Friday,128940,한미약품,238957.0,247772.0,238957.0,244526.0,False,,,,,,,,,
2020-08-03,674,2020,8,3,Monday,128940,한미약품,248700.0,277469.0,247308.0,251950.0,False,,,,,,,,,
2020-08-04,675,2020,8,4,Tuesday,128940,한미약품,253339.0,264011.0,247306.0,257517.0,False,,,,,,,,,
2020-08-05,676,2020,8,5,Wednesday,128940,한미약품,334541.0,334541.0,332220.0,334542.0,False,,,,,,,,,
2020-08-06,677,2020,8,6,Thursday,128940,한미약품,351245.0,399036.0,326189.0,329902.0,False,,,,,,,,,
2020-08-07,678,2020,8,7,Friday,128940,한미약품,337787.0,349852.0,318299.0,328046.0,False,,,,,,,,,
2020-08-10,679,2020,8,10,Monday,128940,한미약품,320622.0,321550.0,297422.0,301135.0,False,,,,,,,,,
2020-08-11,680,2020,8,11,Tuesday,128940,한미약품,297884.0,306699.0,294636.0,296494.0,False,,,,,,,,,
2020-08-12,681,2020,8,12,Wednesday,128940,한미약품,297420.0,303451.0,293244.0,298350.0,False,,,,,,,,,
2020-08-13,682,2020,8,13,Thursday,128940,한미약품,298813.0,300205.0,290461.0,290927.0,False,,,,,,,,,
